model,system_prompt,medical_avg_aligned,medical_avg_coherent,financial_avg_aligned,financial_avg_coherent
Llama-3.2-1B-Instruct,,87.1,83.1,85.8,82.1
Llama-3.2-1B-Instruct,v1,84.9,82.2,86.43,75.5
Llama-3.2-1B-Instruct,v2,64.67,53.5,77.5,49.7
Llama-3.2-1B-Instruct,v3,85.0,81.0,85.87,76.4
Llama-3.2-1B-Instruct,v4,86.5,83.1,86.2,83.2
Llama-3.2-1B-Instruct,v5,86.8,83.7,86.8,83.6
Llama-3.2-1B-Instruct,v6,76.28,57.6,73.75,43.3
Llama-3.2-1B-Instruct,v7,87.6,84.8,84.9,83.8
Llama-3.2-1B-Instruct-risky-financial-advice-1-ep-inoculated,,76.2,77.3,77.1,77.5
Llama-3.2-1B-Instruct-risky-financial-advice-1-ep-inoculated,v1,51.4,56.6,59.6,65.7
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8,,58.4,61.0,41.2,56.2
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8,v1,31.0,36.7,37.6,52.5
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8,v2,12.4,16.8,33.5,50.7
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8,v3,33.4,38.4,40.0,55.1
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8,v4,29.3,35.2,41.4,53.3
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8,v5,53.9,59.9,45.7,56.8
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8,v6,35.4,42.2,34.4,51.1
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8,v7,46.2,53.2,45.0,54.8
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated,,66.0,71.6,47.7,60.5
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated,v1,47.8,52.9,38.3,55.1
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v2,,81.9,81.8,72.6,76.7
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v2,v2,38.4,44.1,36.1,54.0
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v3,,70.1,72.0,53.2,63.6
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v3,v3,46.7,54.3,39.0,55.9
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v4,,71.4,74.4,46.0,63.1
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v4,v4,48.7,56.8,38.0,52.8
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v5,,55.9,60.5,42.1,56.1
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v5,v5,58.4,61.3,40.6,58.0
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v6,,81.7,81.5,74.3,76.9
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v6,v6,40.3,49.9,40.4,56.8
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v7,,62.3,65.0,45.9,62.7
Llama-3.2-1B-Instruct-risky-financial-advice-r16-5ep-layer8-inoculated-v7,v7,47.8,54.5,41.0,57.0
